yogurt,sausage,whole milk,semi-finished bread
salty snack,pastry,whole milk
salty snack,dental care,fruit/vegetable juice,butter,candy
root vegetables,long life bakery product
citrus fruit,yogurt
whipped/sour cream,root vegetables,canned beer
salt,softener,whole milk
pork,hamburger meat
rolls/buns,bottled water
rolls/buns,red/blush wine
flower (seeds),onions,canned beer
rolls/buns,sugar
butter,soda
specialty chocolate,root vegetables
onions,rolls/buns,bottled water,baking powder
ham,dessert
ice cream,pot plants
other vegetables,berries
cream cheese,beverages
whipped/sour cream,ice cream
soda,white bread,berries,other vegetables,cream cheese,butter
root vegetables,yogurt
whole milk,pastry,white bread,shopping bags
whipped/sour cream,newspapers
pastry,frankfurter
chicken,waffles
dessert,fruit/vegetable juice
snack products,sausage,rolls/buns
rolls/buns,soda,tropical fruit
newspapers,tropical fruit
cling film/bags,cat food,yogurt,pip fruit
domestic eggs,bottled water,frozen meals
newspapers,whole milk
salt,white wine,pip fruit,white bread
frozen vegetables,sausage
rolls/buns,yogurt,whole milk
frozen vegetables,whole milk
vinegar,fruit/vegetable juice
cake bar,citrus fruit,chewing gum,shopping bags
yogurt,frankfurter,canned beer
rolls/buns,white bread,tropical fruit
whipped/sour cream,pip fruit,whole milk
specialty chocolate,other vegetables
whipped/sour cream,butter,instant food products,cake bar
sausage,pork,whole milk,fruit/vegetable juice,butter
herbs,pip fruit,frozen meals
margarine,napkins
rolls/buns,salty snack
pasta,rolls/buns,whole milk
rolls/buns,yogurt
root vegetables,white bread
chicken,packaged fruit/vegetables,onions,tropical fruit
hamburger meat,yogurt
prosecco,dessert
chicken,frozen vegetables,candy
brown bread,whole milk,tropical fruit
beef,dessert
other vegetables,whole milk
citrus fruit,bottled water
rolls/buns,citrus fruit,whole milk
sliced cheese,tropical fruit
chocolate marshmallow,napkins,whole milk
other vegetables,tropical fruit
root vegetables,curd
specialty chocolate,instant food products,fruit/vegetable juice
butter,root vegetables,yogurt
chicken,onions
pastry,whole milk
pork,bottled water
soda,curd
butter,sweet spreads
pip fruit,soda
whole milk,rolls/buns,soda,condensed milk
rolls/buns,tropical fruit
butter,whole milk
candy,white bread
herbs,frankfurter
specialty bar,margarine
whole milk,meat
house keeping products,yogurt
whipped/sour cream,hygiene articles
uht-milk,dishes,other vegetables
waffles,beverages
pasta,cat food,yogurt
fish,red/blush wine,cream cheese,tropical fruit
rolls/buns,dishes,soda,other vegetables
female sanitary products,tropical fruit,popcorn,other vegetables,hamburger meat
hamburger meat,bottled beer
pork,frozen vegetables,coffee
shopping bags
beef,shopping bags
hamburger meat,soda
margarine,yogurt,butter milk
soda,whole milk
root vegetables,grapes
whipped/sour cream,frankfurter
bottled water,chewing gum
chicken,beverages,coffee
shopping bags,soft cheese,pork,detergent,other vegetables,yogurt
dog food,butter
chicken,frozen vegetables
hamburger meat,pastry
whole milk,other vegetables
waffles,rolls/buns
whole milk,sugar
soda
oil,bottled beer
margarine,citrus fruit,frankfurter
soda,fruit/vegetable juice
photo/film,other vegetables
pork,white wine
bottled water,yogurt,newspapers,soda
whipped/sour cream,meat spreads
pip fruit,other vegetables
ham,whole milk
salty snack,pickled vegetables
domestic eggs,sliced cheese,soda
uht-milk,tropical fruit
bottled water,sausage
root vegetables,yogurt
root vegetables,other vegetables
chicken,other vegetables
spread cheese,dessert
cling film/bags,salty snack,sausage
margarine,whole milk,tropical fruit,root vegetables,instant food products
bottled beer,soda,fruit/vegetable juice
beef,chocolate
beverages,dessert
whipped/sour cream,hard cheese
whipped/sour cream,ham,ketchup
frozen fruits,white bread
other vegetables,long life bakery product,whole milk,tropical fruit
yogurt,shopping bags,whole milk,other vegetables,butter
sauces,whole milk
citrus fruit,whole milk
rolls/buns,candy
root vegetables,whole milk
rolls/buns,cream cheese
root vegetables,other vegetables,long life bakery product
rolls/buns,tropical fruit
frankfurter,tropical fruit
rum,long life bakery product,whole milk,tropical fruit
hamburger meat,soda
red/blush wine,frozen fish
beef,dessert
root vegetables,bottled beer
oil,shopping bags
other vegetables,whole milk
whole milk,tropical fruit
pork,hamburger meat
rolls/buns,chocolate,coffee,tropical fruit
pork,spread cheese
yogurt,soda
salt,domestic eggs
pork,rolls/buns
brown bread,fruit/vegetable juice
dishes,sliced cheese,bottled beer,tropical fruit
cream cheese,newspapers
citrus fruit,red/blush wine
roll products,yogurt,fruit/vegetable juice
ham,other vegetables
frankfurter,canned beer
finished products,dishes,brown bread
domestic eggs,bottled water,yogurt
prosecco,pip fruit,curd
brown bread,salt
ketchup,semi-finished bread
oil,shopping bags
flower (seeds),fruit/vegetable juice
misc. beverages,instant coffee
detergent,candy
uht-milk,canned fish
citrus fruit,bottled water,frankfurter,fruit/vegetable juice
dishes,frozen meals,frankfurter
rolls/buns,pip fruit
butter,bottled water,sausage
chicken,bottled water,butter,frankfurter
ham,coffee,whole milk
brown bread,sausage
butter,other vegetables
soda,tropical fruit
pasta,pastry
brown bread,white bread
rolls/buns,soda,artif. sweetener,canned beer
rolls/buns,root vegetables
chicken,soda
rolls/buns,coffee,white bread,frankfurter,curd
red/blush wine,bottled water,sweet spreads
rolls/buns,onions,napkins
soda,canned beer
pet care,root vegetables,frozen vegetables
yogurt,tropical fruit,bottled beer,specialty bar,baking powder
whole milk,pastry,other vegetables,newspapers,frankfurter
beverages,yogurt
whole milk,tropical fruit
coffee,butter milk
margarine,beef,other vegetables
hygiene articles,bottled water
pork,sliced cheese
specialty chocolate,soda,bathroom cleaner
hamburger meat,whole milk
pip fruit,other vegetables
citrus fruit,root vegetables
soda,other vegetables,shopping bags
newspapers,yogurt
whipped/sour cream,ice cream
soda,beef,other vegetables,butter,curd
herbs,margarine,canned beer
rolls/buns,soda
rolls/buns,citrus fruit
coffee,berries
ham,white bread
herbs,pot plants,cake bar
flower (seeds),soda,jam
pip fruit,chocolate,sausage
specialty chocolate,white bread
whole milk
whole milk,other vegetables
beverages,sausage
hard cheese,whole milk
yogurt,berries
domestic eggs,meat,tropical fruit,other vegetables,baking powder
yogurt,sauces
beef,yogurt
ice cream,whole milk
specialty chocolate,sausage,napkins,whisky,detergent,dishes,pastry,yogurt
photo/film,shopping bags
bottled beer,frankfurter,other vegetables
newspapers,yogurt
soda,frozen vegetables,other vegetables,specialty bar,root vegetables
rolls/buns,salty snack,domestic eggs,sausage,bottled water,grapes,bottled beer,instant food products
domestic eggs,dessert
misc. beverages,sausage,root vegetables,tropical fruit
sausage,whole milk
brown bread,whole milk
hamburger meat,flour,detergent
soda,tropical fruit
salty snack,newspapers
pasta,waffles,whole milk
chocolate marshmallow,other vegetables
pickled vegetables,flour
yogurt,shopping bags
pork,domestic eggs,bottled water,packaged fruit/vegetables
pip fruit,fruit/vegetable juice
curd,soda,whole milk,tropical fruit
root vegetables,shopping bags
whipped/sour cream,curd,shopping bags
sausage,whole milk,cake bar
whipped/sour cream,bottled water,frankfurter
hard cheese,whole milk
hard cheese,specialty chocolate,whole milk,tropical fruit,canned beer,citrus fruit,yogurt,frankfurter
rolls/buns,napkins,canned beer
grapes,other vegetables
rolls/buns,cat food,shopping bags
candy,tropical fruit
citrus fruit,dessert
root vegetables,bottled water,frozen vegetables,cat food
pork,spread cheese
brown bread,pip fruit
root vegetables,instant coffee
hygiene articles,soda,butter milk,pudding powder,grapes,butter
yogurt,whole milk
pasta,hamburger meat
processed cheese,whole milk
brown bread,sparkling wine
whipped/sour cream,rolls/buns,other vegetables
white wine,candy
root vegetables,frozen vegetables
white bread,detergent,other vegetables
brown bread,beverages,yogurt
herbs,ice cream
yogurt,cream
chicken,pastry,candles
tea,waffles,hygiene articles
herbs,rolls/buns,yogurt,other vegetables
root vegetables,yogurt
domestic eggs,yogurt
pork,whole milk
white bread,other vegetables
bottled water,yogurt,whole milk,tropical fruit
citrus fruit,misc. beverages
rolls/buns,liver loaf,shopping bags,chicken,spread cheese
citrus fruit,misc. beverages
pastry,whole milk
newspapers,onions
beef,newspapers,specialty fat
rolls/buns,semi-finished bread
rolls/buns,shopping bags
whipped/sour cream,pastry,grapes,canned beer
salty snack,pastry,oil
frozen potato products,specialty cheese
brown bread,whole milk,shopping bags
margarine,citrus fruit,frozen vegetables
curd,sugar
chocolate,whole milk
salty snack,pastry,pip fruit
margarine,pip fruit
ham,yogurt
salty snack,soda
bottled water,chocolate
margarine,baking powder,dishes,pastry,butter,curd
soda,whole milk
liquor,pickled vegetables
margarine,yogurt
uht-milk,frozen vegetables,soda,whole milk
whipped/sour cream,other vegetables
beef,semi-finished bread
bottled water,flour,sugar
dish cleaner,newspapers,ice cream,jam
curd,canned beer
specialty bar,baking powder,bottled beer
newspapers,yogurt,whole milk
pork,domestic eggs,pudding powder
root vegetables,shopping bags
uht-milk,misc. beverages,white bread
dog food,dessert,sausage,shopping bags
citrus fruit,root vegetables
brown bread,salty snack,chocolate
chicken,shopping bags
butter,other vegetables
whipped/sour cream,yogurt
yogurt,other vegetables
root vegetables,turkey
napkins,other vegetables
rolls/buns,beverages,newspapers,white bread
zwieback,other vegetables
brown bread,canned vegetables,soda,butter milk
chicken,bottled water
brown bread,soda
hard cheese,root vegetables,liquor,other vegetables,cream cheese,newspapers
rolls/buns,frankfurter
whipped/sour cream,whole milk,meat
frozen vegetables,sliced cheese,bottled beer
processed cheese,pip fruit,canned beer
condensed milk,berries
house keeping products,pickled vegetables,rolls/buns,curd
hair spray,pastry,butter,whole milk
ham,yogurt
grapes,whole milk
other vegetables,meat
specialty bar,other vegetables
uht-milk,newspapers,soda,white bread
brown bread,citrus fruit
sugar,tropical fruit
chocolate marshmallow,tropical fruit,condensed milk,pastry,rice
coffee,shopping bags
citrus fruit,bottled water
root vegetables,frozen vegetables
chicken,dishes
rolls/buns,oil,yogurt
pork,canned vegetables,soda
pip fruit,whole milk
rolls/buns,frozen vegetables,cling film/bags
hygiene articles,bottled beer
yogurt,soda
rolls/buns,margarine
condensed milk,shopping bags
citrus fruit,popcorn
pastry,sausage
margarine,root vegetables,rolls/buns
whipped/sour cream,rolls/buns
pork,root vegetables,newspapers,napkins
misc. beverages,whole milk,long life bakery product
citrus fruit,soda
roll products,soda
rolls/buns,margarine,frankfurter,shopping bags
uht-milk,pastry,butter,other vegetables
coffee,meat
frankfurter,white bread
liquor,domestic eggs
specialty bar,frozen vegetables,soda
flower (seeds),frozen meals,grapes
tea,yogurt,brown bread,shopping bags
flower (seeds),white wine
cream cheese,specialty chocolate
baking powder,whole milk
margarine,soda
cream cheese,tropical fruit
softener,yogurt
root vegetables,bottled water,dessert,frankfurter
rolls/buns,salty snack,shopping bags,other vegetables,semi-finished bread
soda,whole milk
whole milk,bottled beer
pastry,yogurt
domestic eggs,curd
coffee,shopping bags
rolls/buns,sausage,rice
pork,napkins,whole milk
oil,other vegetables
brown bread,pastry,yogurt
cream cheese,newspapers
sausage,soda,shopping bags,dessert,butter
hard cheese,butter
other vegetables,whole milk
flower (seeds),citrus fruit
brown bread,butter milk,tropical fruit
whole milk,tropical fruit
rolls/buns,fruit/vegetable juice
herbs,citrus fruit
root vegetables,butter milk
shopping bags,instant coffee
other vegetables,tropical fruit
beef,other vegetables
nut snack,canned beer
other vegetables,whole milk,sugar
root vegetables,whole milk
citrus fruit,napkins
rolls/buns,butter milk
brown bread,rolls/buns,canned beer
soft cheese,tropical fruit
misc. beverages,tropical fruit
pork,pickled vegetables
waffles,photo/film,other vegetables,frankfurter,curd
cling film/bags,pip fruit,other vegetables
rolls/buns,soda,whole milk
yogurt,tropical fruit
rolls/buns,cat food
white bread,berries
rolls/buns,soda
brown bread,chicken
napkins,other vegetables
newspapers,soups
uht-milk,soda
pork,soda
oil,pickled vegetables
soda,whole milk,sugar
misc. beverages,spread cheese
whole milk,meat
pork,domestic eggs
root vegetables,coffee
fish,canned beer
hard cheese,root vegetables,white bread
chicken,domestic eggs,white bread
whipped/sour cream,soda
brown bread,other vegetables
root vegetables,tropical fruit
soda,bottled beer
bottled beer,whole milk
waffles,bottled water,shopping bags
pork,margarine
frozen vegetables,pip fruit,root vegetables,cereals
yogurt,soda
sliced cheese,candy,other vegetables,berries
soft cheese,curd
soda,whole milk
frozen meals,detergent
specialty chocolate,canned fish
soda,other vegetables
pork,tropical fruit
pork,yogurt
dog food,sausage,shopping bags,sliced cheese,white bread,whole milk,baking powder,yogurt
soda,other vegetables
root vegetables,soda,long life bakery product
chicken,yogurt,soda,bottled beer
frozen vegetables,yogurt,seasonal products
fruit/vegetable juice,other vegetables
rolls/buns,bottled water,uht-milk,long life bakery product
sugar,canned beer
pip fruit,berries
soft cheese,curd
pastry,pip fruit,berries
rolls/buns,whole milk
pork,domestic eggs
frozen meals,soda
curd cheese,soda
grapes,whole milk
bottled beer,ready soups,chewing gum,whole milk
butter,ice cream
chicken,cake bar
soft cheese,mustard,frankfurter
dish cleaner,rolls/buns,canned beer,tropical fruit
root vegetables,frozen vegetables,other vegetables
rolls/buns,female sanitary products
citrus fruit,sausage,whole milk,canned beer
pet care,yogurt,sausage,whole milk
house keeping products,whole milk
brandy,frankfurter
other vegetables,berries
uht-milk,napkins,whole milk,tropical fruit
beef,frozen meals,curd
rolls/buns,root vegetables,butter,other vegetables
bottled water,whole milk
citrus fruit,yogurt
cream cheese,whole milk
frozen vegetables,domestic eggs
citrus fruit,soda
light bulbs,citrus fruit
yogurt,whole milk
butter,chewing gum
root vegetables,whole milk
mustard,pip fruit,tropical fruit
beef,domestic eggs,coffee,bottled beer
frozen meals,shopping bags
whole milk,spread cheese,yogurt,other vegetables
beef,newspapers,bottled beer
misc. beverages,coffee
citrus fruit,canned beer
yogurt,white bread
red/blush wine,salty snack
fruit/vegetable juice,male cosmetics,berries,canned beer
bottled water,sausage
bottled water,whole milk,beef,citrus fruit,newspapers
frozen vegetables,white bread
sliced cheese,other vegetables
root vegetables,canned vegetables,whole milk
house keeping products,beef
frozen vegetables,whole milk
pork,chocolate,packaged fruit/vegetables
spices,curd
bottled water,tropical fruit
brown bread,root vegetables
rolls/buns,other vegetables
domestic eggs,coffee
frozen vegetables,frankfurter
whole milk,uht-milk,chocolate,bottled beer
herbs,sweet spreads,long life bakery product
detergent,soda
margarine,soda
liquor,bottled water
napkins,cleaner
rolls/buns,other vegetables
napkins
bottled beer,cake bar
waffles,other vegetables,white bread,whole milk
finished products,whipped/sour cream,newspapers
chicken,pip fruit
chocolate,shopping bags
whipped/sour cream,citrus fruit
dog food,rolls/buns,bottled water,turkey,soda,pork,whole milk
whipped/sour cream,pip fruit
whole milk,sparkling wine
whole milk,canned beer
whipped/sour cream,soda
soda,other vegetables
brown bread,pasta
bottled water,onions
beverages,specialty chocolate
fruit/vegetable juice,rolls/buns,bottled beer
specialty bar,newspapers
rolls/buns,margarine
hard cheese,rolls/buns
soft cheese,rolls/buns,fruit/vegetable juice
pickled vegetables,baking powder
whipped/sour cream,pip fruit
syrup,citrus fruit
cling film/bags,root vegetables
hamburger meat,other vegetables
soda,shopping bags,whole milk,white wine,citrus fruit,yogurt
pasta,oil
brown bread,citrus fruit,specialty chocolate
bottled water,chocolate,berries,butter,beef,yogurt
hard cheese,bottled water,sugar
soda,whole milk
other vegetables,tropical fruit
pastry,other vegetables
frozen potato products,domestic eggs,curd cheese
whole milk,tropical fruit
brown bread,rolls/buns,dessert,canned beer
shopping bags,tropical fruit
bottled water,jam,chocolate
salt,pork,ice cream,other vegetables
oil,coffee
soda,cereals
chicken,frozen meals,napkins
frozen potato products,whole milk
citrus fruit,white bread
whole milk,dishes,oil,bottled beer
root vegetables,sausage
mayonnaise,white bread
shopping bags,soft cheese,whole milk,ice cream,hamburger meat
canned fish,baking powder,candy
mustard,butter
beef,butter milk
hamburger meat,pip fruit
rolls/buns,red/blush wine
domestic eggs,sausage
brown bread,sausage,canned beer,bottled beer,other vegetables,dessert,cream cheese,butter
brown bread,spread cheese,ham,root vegetables,pastry,butter
root vegetables,sweet spreads
beef,newspapers,whole milk
beef,frozen meals,whole milk
specialty bar,chocolate,pip fruit
frankfurter,canned beer
ice cream,chewing gum
butter,soda
detergent,soda
domestic eggs,white bread
whole milk,canned fruit,other vegetables
soda
citrus fruit,domestic eggs
onions,other vegetables,shopping bags
bottled water,butter milk,cleaner
rolls/buns,soda,whole milk
bottled beer,other vegetables
sliced cheese,bottled beer
dessert,tropical fruit
whipped/sour cream,specialty chocolate
root vegetables
rolls/buns,pip fruit,soda
bottled water,soda
hamburger meat,bottled beer
other vegetables,meat spreads
root vegetables,canned beer
waffles,sparkling wine
specialty chocolate,citrus fruit,hamburger meat,other vegetables
white bread,berries
butter,fruit/vegetable juice,seasonal products
brown bread,pastry
citrus fruit,root vegetables
soda,shopping bags
pastry,butter,coffee,soda
honey,bottled water,whole milk
pip fruit,napkins
finished products,liquor
butter,shopping bags
soft cheese,whole milk
domestic eggs,newspapers
pip fruit,shopping bags
rolls/buns,bottled beer,mayonnaise,candy
brown bread,whole milk
whipped/sour cream,beef
chocolate,sausage
waffles,pip fruit
whipped/sour cream,yogurt,root vegetables,misc. beverages,packaged fruit/vegetables,citrus fruit,sliced cheese
citrus fruit,yogurt
citrus fruit,napkins
specialty chocolate,frozen fish
specialty chocolate,newspapers,other vegetables
beverages,sausage
salty snack,bottled water,canned vegetables,sugar,flour
rolls/buns,white bread,popcorn,whole milk
rolls/buns,grapes
citrus fruit,root vegetables
rolls/buns,canned fish,dessert,candy
brown bread,detergent
whole milk,candles
misc. beverages,coffee
oil,coffee
rolls/buns,yogurt
root vegetables,curd cheese,soda,semi-finished bread
roll products,yogurt
chicken,root vegetables,grapes,bottled beer
softener,chocolate
beverages,soda
root vegetables,yogurt
rolls/buns,pastry
pip fruit,sliced cheese
waffles,whole milk
curd,bottled water,ready soups,white bread
yogurt,chewing gum,whole milk
oil,whole milk
cat food,sausage
hygiene articles,candles,tropical fruit
rolls/buns,sausage,soda,sugar,whole milk,other vegetables,softener,pastry
yogurt,whole milk,semi-finished bread
frankfurter,whole milk
ham,pickled vegetables,shopping bags
soft cheese,bottled water
butter milk,tropical fruit
rolls/buns,frozen meals
misc. beverages,shopping bags
pork,beef,yogurt
dessert,sausage
yogurt,shopping bags
specialty cheese,fruit/vegetable juice,long life bakery product
brown bread,ham
margarine,butter
specialty bar,yogurt,butter,frankfurter
finished products,domestic eggs
specialty bar,whole milk
uht-milk,other vegetables
specialty bar,rolls/buns,salty snack,tropical fruit
salt,tropical fruit
cat food,tropical fruit
beef,domestic eggs
root vegetables,other vegetables
brown bread,margarine,chicken,pork,beef,newspapers,dessert
domestic eggs,fruit/vegetable juice
citrus fruit,bottled beer
syrup,waffles
chicken,yogurt,pip fruit,meat
sliced cheese,pip fruit,other vegetables,semi-finished bread
yogurt,sauces
root vegetables,grapes,shopping bags
onions,turkey
citrus fruit,long life bakery product
brown bread,canned beer
bottled water,soda,napkins,whole milk,tropical fruit,root vegetables,pastry,specialty fat
citrus fruit,bottled water,grapes
dog food,pastry,whole milk
whole milk,sugar
butter,yogurt,sausage,whole milk
pork,frozen meals
citrus fruit
fruit/vegetable juice,other vegetables
rolls/buns,frozen fish,tropical fruit
cling film/bags,curd,meat
meat,candles,whole milk,tropical fruit
brown bread,canned beer
red/blush wine,instant coffee
margarine,chocolate,canned beer
waffles,pastry
rolls/buns,specialty chocolate,napkins,butter milk,dental care,onions,rice
pasta,sausage
ice cream,frankfurter
bottled water,sugar
coffee,canned beer
condensed milk,onions
uht-milk,citrus fruit,butter
citrus fruit,yogurt,semi-finished bread
flour,packaged fruit/vegetables
ham,rum
specialty chocolate,sausage
uht-milk,cooking chocolate
rolls/buns,pastry
curd,whole milk
jam,white bread
brown bread,photo/film
flour,detergent,whole milk,shopping bags
sliced cheese,other vegetables,dessert,bottled beer
soda,butter milk,seasonal products
domestic eggs,soda,white bread,beef,vinegar,long life bakery product,specialty bar,citrus fruit
hard cheese,pastry
whipped/sour cream,yogurt
beverages,photo/film,bottled beer
frozen potato products,beef,white bread
whipped/sour cream,ham,newspapers
mustard,brown bread
other vegetables,whole milk
sliced cheese,canned beer
soda,canned beer
ham,domestic eggs
misc. beverages,pastry,frankfurter
soda,butter milk
root vegetables,sausage
whipped/sour cream,white wine,photo/film
hard cheese,soda
onions,ice cream
pork,sliced cheese,flour
detergent,grapes
margarine,yogurt
bottled water,butter,grapes
pasta,canned beer
rolls/buns,bottled beer
uht-milk,curd
whipped/sour cream,shopping bags
other vegetables,butter milk
whipped/sour cream,rolls/buns,waffles,margarine,salty snack,soda,canned beer
rolls/buns,other vegetables
chicken,whole milk
pastry,curd
yogurt,coffee,shopping bags
margarine,root vegetables,bottled water
salty snack,root vegetables
spread cheese,sausage,bottled beer
bottled water,soda
condensed milk,other vegetables
dog food,processed cheese
bottled beer,canned beer
abrasive cleaner,curd,other vegetables
roll products,butter
waffles,shopping bags
cling film/bags,whole milk
dishes,newspapers,pip fruit
rolls/buns,hard cheese
soda,sugar,white bread,whole milk,tropical fruit,other vegetables,ham
citrus fruit,other vegetables
beverages,sugar
misc. beverages,cleaner
pork,cream cheese,other vegetables
hard cheese,butter milk
margarine,frankfurter
whipped/sour cream,yogurt
waffles,roll products
soda,meat
processed cheese,sausage
condensed milk,whole milk
finished products,bottled water,yogurt,bottled beer
brown bread,tropical fruit
rolls/buns,sausage,oil,whole milk,frozen vegetables,other vegetables,baking powder,frozen fish
hard cheese,onions
soda,shopping bags
margarine,oil
whole milk,specialty cheese
pasta,specialty chocolate,soda,long life bakery product
pasta,other vegetables,meat
citrus fruit,other vegetables
dog food,bottled water,sausage,bottled beer
pasta,beverages,domestic eggs,sugar
tropical fruit,shopping bags
chocolate,butter
sausage,frozen meals
cling film/bags,soda
soft cheese,uht-milk
soda,candy
rolls/buns,salty snack,bottled water,shopping bags
condensed milk,dessert,rolls/buns,shopping bags
turkey,shopping bags
rolls/buns,tropical fruit
soft cheese,onions
grapes,other vegetables
canned fruit,processed cheese,soda,shopping bags
coffee,white bread
yogurt,canned beer
whipped/sour cream,yogurt
berries,tropical fruit
uht-milk,other vegetables
frozen vegetables,other vegetables
butter,candy
chicken,butter
citrus fruit,skin care
root vegetables,frozen vegetables
pip fruit,tropical fruit
frankfurter,whole milk
dessert,packaged fruit/vegetables
margarine
beef,curd
citrus fruit,coffee
frozen meals,soda,bottled beer
chewing gum,other vegetables
dessert,fruit/vegetable juice,canned beer
chicken,pastry
turkey,pot plants,soda,pork,whole milk,dishes
grapes,other vegetables
pastry,liqueur
processed cheese,sausage,baking powder,specialty cheese
ham,napkins
specialty bar,specialty chocolate,white wine
red/blush wine,soda
sausage,coffee
domestic eggs,berries
other vegetables,sugar
tea,coffee
herbs,uht-milk,oil,butter
rolls/buns,yogurt
cream cheese,frozen dessert
yogurt,coffee
whipped/sour cream,rolls/buns,frozen vegetables,fruit/vegetable juice
hamburger meat,coffee
whole milk,shopping bags
ice cream,whole milk
sliced cheese,sausage,grapes,napkins
fruit/vegetable juice,berries
pork,root vegetables
pip fruit,shopping bags
sausage,curd
flower (seeds),domestic eggs,canned vegetables,whole milk
rolls/buns,hard cheese,flour
organic sausage,frozen meals,sugar
pickled vegetables,onions,whole milk
citrus fruit,other vegetables
frozen meals,bottled beer
yogurt,soda,semi-finished bread,tropical fruit
butter,white bread,tropical fruit
specialty bar,tropical fruit
bottled water,pastry
curd,sugar
mayonnaise,sausage,other vegetables,tropical fruit
whole milk,soda,other vegetables
brown bread,pork
uht-milk,root vegetables,canned fish,waffles
specialty chocolate,chicken,pip fruit,other vegetables,cream cheese,citrus fruit,pastry,curd
pork,yogurt
domestic eggs,hamburger meat,other vegetables
red/blush wine,tropical fruit,shopping bags
sliced cheese,other vegetables
butter,whole milk
oil,canned fish
misc. beverages,whole milk
white wine,sauces
brown bread,margarine,other vegetables
red/blush wine,canned fruit,frozen meals
whole milk,liquor,other vegetables,butter milk
rolls/buns,seasonal products
root vegetables,tropical fruit
whole milk,softener,other vegetables
citrus fruit,cereals
flower soil/fertilizer,cake bar
pork,napkins
specialty bar,cleaner
whole milk,artif. sweetener
pork,pastry
coffee,other vegetables,specialty cheese
rolls/buns,dessert
cream cheese,tidbits
hygiene articles,curd
rolls/buns,dental care
dessert,root vegetables,butter
citrus fruit,pastry
salt,citrus fruit
whole milk,other vegetables
onions,mustard,sausage
frozen potato products,domestic eggs,butter milk,shopping bags
specialty chocolate,white bread
butter,ice cream
house keeping products,dessert
condensed milk,hard cheese
hard cheese,yogurt
rolls/buns,bottled beer,sausage,whole milk
cream cheese,whole milk,semi-finished bread
rolls/buns,sausage
frankfurter,shopping bags
pot plants,photo/film,white bread,whole milk,dessert,yogurt
whipped/sour cream,other vegetables
brown bread,butter
citrus fruit,hamburger meat,photo/film
root vegetables,meat
bottled water,cookware,canned beer,frozen vegetables,ice cream,other vegetables,butter
root vegetables,newspapers
rolls/buns,sausage,yogurt,tropical fruit
citrus fruit,beverages,sausage,whole milk
oil,butter
root vegetables,ham
chicken,soda
pastry,sliced cheese
uht-milk,fish
spices,butter milk
spices,ice cream
finished products,rolls/buns
